Time	"Time Code"	"Country Name"	"Country Code"	"Mortality"
2016	"YR2016"	"Afghanistan"	"AFG"	"35.6"
2016	"YR2016"	"Albania"	"ALB"	"12.6"
2016	"YR2016"	"Algeria"	"DZA"	"14.2"
2016	"YR2016"	"American Samoa"	"ASM"	".."
2016	"YR2016"	"Andorra"	"AND"	".."
2016	"YR2016"	"Angola"	"AGO"	"22.6"
2016	"YR2016"	"Antigua and Barbuda"	"ATG"	"17.7"
2016	"YR2016"	"Argentina"	"ARG"	"16.8"
2016	"YR2016"	"Armenia"	"ARM"	"21.7"
2016	"YR2016"	"Aruba"	"ABW"	".."
2016	"YR2016"	"Australia"	"AUS"	"9"
2016	"YR2016"	"Austria"	"AUT"	"11.2"
2016	"YR2016"	"Azerbaijan"	"AZE"	"28.2"
2016	"YR2016"	"Bahamas, The"	"BHS"	"19.5"
2016	"YR2016"	"Bahrain"	"BHR"	"16.3"
2016	"YR2016"	"Bangladesh"	"BGD"	"18.5"
2016	"YR2016"	"Barbados"	"BRB"	"15.7"
2016	"YR2016"	"Belarus"	"BLR"	"24.6"
2016	"YR2016"	"Belgium"	"BEL"	"11.1"
2016	"YR2016"	"Belize"	"BLZ"	"16"
2016	"YR2016"	"Benin"	"BEN"	"23.3"
2016	"YR2016"	"Bermuda"	"BMU"	".."
2016	"YR2016"	"Bhutan"	"BTN"	"18.5"
2016	"YR2016"	"Bolivia"	"BOL"	"18.2"
2016	"YR2016"	"Bosnia and Herzegovina"	"BIH"	"18.8"
2016	"YR2016"	"Botswana"	"BWA"	"28.9"
2016	"YR2016"	"Brazil"	"BRA"	"16.3"
2016	"YR2016"	"British Virgin Islands"	"VGB"	".."
2016	"YR2016"	"Brunei Darussalam"	"BRN"	"18.5"
2016	"YR2016"	"Bulgaria"	"BGR"	"24.4"
2016	"YR2016"	"Burkina Faso"	"BFA"	"24.7"
2016	"YR2016"	"Burundi"	"BDI"	"25.5"
2016	"YR2016"	"Cabo Verde"	"CPV"	"15.1"
2016	"YR2016"	"Cambodia"	"KHM"	"22.7"
2016	"YR2016"	"Cameroon"	"CMR"	"25"
2016	"YR2016"	"Canada"	"CAN"	"10.4"
2016	"YR2016"	"Cayman Islands"	"CYM"	".."
2016	"YR2016"	"Central African Republic"	"CAF"	"37.4"
2016	"YR2016"	"Chad"	"TCD"	"23.4"
2016	"YR2016"	"Channel Islands"	"CHI"	".."
2016	"YR2016"	"Chile"	"CHL"	"11.1"
2016	"YR2016"	"China"	"CHN"	"16.6"
2016	"YR2016"	"Colombia"	"COL"	"10.3"
2016	"YR2016"	"Comoros"	"COM"	"21.2"
2016	"YR2016"	"Congo, Dem. Rep."	"COD"	"23.9"
2016	"YR2016"	"Congo, Rep."	"COG"	"24.2"
2016	"YR2016"	"Costa Rica"	"CRI"	"10"
2016	"YR2016"	"Cote d'Ivoire"	"CIV"	"22.9"
2016	"YR2016"	"Croatia"	"HRV"	"17"
2016	"YR2016"	"Cuba"	"CUB"	"16.3"
2016	"YR2016"	"Curacao"	"CUW"	".."
2016	"YR2016"	"Cyprus"	"CYP"	"9.2"
2016	"YR2016"	"Czech Republic"	"CZE"	"15"
2016	"YR2016"	"Denmark"	"DNK"	"11.9"
2016	"YR2016"	"Djibouti"	"DJI"	"22.3"
2016	"YR2016"	"Dominica"	"DMA"	".."
2016	"YR2016"	"Dominican Republic"	"DOM"	"21.7"
2016	"YR2016"	"Ecuador"	"ECU"	"11.9"
2016	"YR2016"	"Egypt, Arab Rep."	"EGY"	"29.4"
2016	"YR2016"	"El Salvador"	"SLV"	"10.4"
2016	"YR2016"	"Equatorial Guinea"	"GNQ"	"23"
2016	"YR2016"	"Eritrea"	"ERI"	"27.7"
2016	"YR2016"	"Estonia"	"EST"	"17.2"
2016	"YR2016"	"Eswatini"	"SWZ"	"37.1"
