Time	"Time Code"	"Country Name"	"Country Code"	"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) [SH.DYN.NCOM.ZS]"	"Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]"	"Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]"	"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]"	"Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]"	"GDP (current US$) [NY.GDP.MKTP.CD]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL]"
2018	"YR2018"	"Afghanistan"	"AFG"	"35.4"	"9.39572716"	"49.84260941"	"186.4072876"	"78.38278198"	"18053228578.8878"	"485.668418729808"	"0.393489241600037"
2018	"YR2018"	"Albania"	"ALB"	"11.8"	"5.26271439"	"274.91409302"	"697.30487061"	"44.58411789"	"15156432309.8977"	"5287.66369446913"	"0.628666281700134"
2018	"YR2018"	"Algeria"	"DZA"	"13.9"	"6.2184267"	"255.86943054"	"962.71936035"	"32.64655304"	"174910878623.049"	"4142.01855842917"	"0.531993925571442"
2018	"YR2018"	"American Samoa"	"ASM"	""	""	""	""	""	"639000000"	"11521.6097798453"	""
2018	"YR2018"	"Andorra"	"AND"	""	"6.71033096"	"2821.80126953"	"3607.00097656"	"13.58695602"	"3218316013.22626"	"41791.9698372411"	""
2018	"YR2018"	"Angola"	"AGO"	"22.1"	"2.54900527"	"87.61676788"	"164.70602417"	"36.79880905"	"101353230784.594"	"3289.64399476678"	"0.360190957784653"
2018	"YR2018"	"Antigua and Barbuda"	"ATG"	"17.7"	"5.23155928"	"875.17254639"	"1405.76794434"	"29.45855904"	"1605944444.44444"	"16679.5916624545"	"0.578216969966888"
2018	"YR2018"	"Argentina"	"ARG"	"16.1"	"9.62454033"	"1127.90722656"	"1989.63562012"	"27.7300415"	"524819742918.669"	"11795.1593866287"	"0.61736673116684"
2018	"YR2018"	"Armenia"	"ARM"	"20"	"10.02538967"	"422.28268433"	"1036.95446777"	"84.27638245"	"12457941907.0333"	"4220.54032079145"	"0.58172595500946"
2018	"YR2018"	"Aruba"	"ABW"	""	""	""	""	""	"3202188606.92893"	"30253.2793580195"	""
2018	"YR2018"	"Australia"	"AUS"	"8.7"	"9.28459835"	"5425.34033203"	"5004.86669922"	"17.72058296"	"1428529571351.06"	"57180.7794001614"	"0.780833959579468"
2018	"YR2018"	"Austria"	"AUT"	"10.9"	"10.32559872"	"5326.43701172"	"5879.10302734"	"18.36519051"	"454945881027.378"	"51461.4332150082"	"0.768673121929169"
2018	"YR2018"	"Azerbaijan"	"AZE"	"27.4"	"3.51373243"	"165.7674408"	"633.56213379"	"72.80480957"	"47112941176.4706"	"4739.84171028393"	"0.62931215763092"
2018	"YR2018"	"Bahamas, The"	"BHS"	"19.8"	"6.24896193"	"2013.37927246"	"2005.24621582"	"27.18660164"	"12837800000"	"33290.028135413"	""
2018	"YR2018"	"Bahrain"	"BHR"	"16.1"	"4.13356352"	"994.17901611"	"1955.35192871"	"30.00357819"	"37801462765.9574"	"24085.955988096"	"0.663898766040802"
2018	"YR2018"	"Bangladesh"	"BGD"	"18.9"	"2.3428061"	"41.90905762"	"109.6439209"	"73.87189484"	"274038973437.275"	"1698.13208078712"	"0.458553284406662"
2018	"YR2018"	"Barbados"	"BRB"	"15.8"	"6.56259155"	"1164.54455566"	"1203.78686523"	"46.51942825"	"5086500000"	"17745.2553725928"	""
2018	"YR2018"	"Belarus"	"BLR"	"24.3"	"5.64426613"	"356.25073242"	"1132.46948242"	"24.9543705"	"60031262269.3365"	"6360.06247301284"	""
2018	"YR2018"	"Belgium"	"BEL"	"10.8"	"10.31865311"	"4912.70068359"	"5404.91601563"	"19.05391693"	"543008499294.079"	"47519.5530968943"	"0.762759745121002"
2018	"YR2018"	"Belize"	"BLZ"	"16.1"	"5.69105911"	"285.98583984"	"506.31762695"	"23.23029137"	"1915899786.96407"	"5001.42215663433"	""
2018	"YR2018"	"Benin"	"BEN"	"22.9"	"2.49141979"	"30.9390583"	"83.21243286"	"44.54978943"	"14262407011.5254"	"1241.82529800958"	"0.396950334310532"
2018	"YR2018"	"Bermuda"	"BMU"	""	""	""	""	""	"7224329000"	"113023.185594268"	""
2018	"YR2018"	"Bhutan"	"BTN"	"18.6"	"3.0574255"	"102.73851776"	"322.09790039"	"13.16380501"	"2446866404.93058"	"3243.47743748718"	""
2018	"YR2018"	"Bolivia"	"BOL"	"18"	"6.30102587"	"223.59788513"	"496.09091187"	"23.17128754"	"40287647930.4761"	"3548.59078021377"	""
2018	"YR2018"	"Bosnia and Herzegovina"	"BIH"	"18.8"	"8.895051"	"539.54663086"	"1300.77648926"	"29.33151054"	"20177409351.4329"	"6070.34908129292"	"0.619265019893646"
2018	"YR2018"	"Botswana"	"BWA"	"28.2"	"5.84825039"	"482.96307373"	"1088.72900391"	"3.31500101"	"16914245098.0392"	"7503.8785883646"	"0.412516504526138"
2018	"YR2018"	"Brazil"	"BRA"	"15.7"	"9.51438713"	"848.38885498"	"1530.82226563"	"27.54380798"	"1916933708381.89"	"9151.38173161536"	"0.545723736286163"
2018	"YR2018"	"British Virgin Islands"	"VGB"	""	""	""	""	""	""	""	""
2018	"YR2018"	"Brunei Darussalam"	"BRN"	"18.7"	"2.41291642"	"763.15289307"	"1952.52880859"	"4.85925293"	"13567351175.0315"	"31628.4762566009"	""
2018	"YR2018"	"Bulgaria"	"BGR"	"24.4"	"7.34667873"	"689.90539551"	"1633.80444336"	"40.51737976"	"66363422450.2112"	"9446.70077185518"	"0.670277237892151"
2018	"YR2018"	"Burkina Faso"	"BFA"	"24.2"	"5.62852383"	"40.24945068"	"111.71577454"	"35.83074951"	"15890065019.7634"	"804.500537821516"	"0.378283977508545"
2018	"YR2018"	"Burundi"	"BDI"	"25.1"	"7.74165535"	"24.02547073"	"65.79267883"	"25.60256958"	"2668495742.88443"	"238.783467020173"	"0.38957479596138"
2018	"YR2018"	"Cabo Verde"	"CPV"	"17.6"	"5.35998297"	"194.85687256"	"399.53582764"	"27.96337318"	"1966503222.76759"	"3616.46453749713"	""
2018	"YR2018"	"Cambodia"	"KHM"	"22.6"	"6.02654314"	"90.55628204"	"261.15719604"	"57.52603912"	"24571753583.4922"	"1512.12698889384"	"0.490684866905212"
2018	"YR2018"	"Cameroon"	"CMR"	"24.1"	"3.52989626"	"54.13952637"	"133.60945129"	"75.57914734"	"39973839064.6084"	"1585.24053445546"	"0.393320679664612"
2018	"YR2018"	"Canada"	"CAN"	"9.8"	"10.79046917"	"4994.90234375"	"5199.97314453"	"14.72872066"	"1721853332869.63"	"46454.7433947203"	"0.800089955329895"
2018	"YR2018"	"Cayman Islands"	"CYM"	""	""	""	""	""	"5522625585.0234"	"86059.7392168454"	""
2018	"YR2018"	"Central African Republic"	"CAF"	"36.5"	"10.99253082"	"53.66416168"	"97.0058136"	"41.67272568"	"2220978978.17342"	"475.953813864813"	""
2018	"YR2018"	"Chad"	"TCD"	"23.2"	"4.09880257"	"29.23851013"	"79.01350403"	"61.90134811"	"11239167048.4916"	"726.151007088549"	"0.299028992652893"
2018	"YR2018"	"Channel Islands"	"CHI"	""	""	""	""	""	""	""	""
2018	"YR2018"	"Chile"	"CHL"	"10.3"	"9.14051342"	"1455.60791016"	"2305.67651367"	"33.23550415"	"297571693064.212"	"15888.144355398"	"0.665265142917633"
2018	"YR2018"	"China"	"CHN"	"16"	"5.35107994"	"501.05938721"	"935.19287109"	"35.75065613"	"13894817549380.3"	"9905.34200389253"	"0.64709883928299"
2018	"YR2018"	"Colombia"	"COL"	"9.8"	"7.63980007"	"513.15869141"	"1155.4074707"	"15.1307478"	"334198214706.209"	"6729.58333198168"	"0.598653852939606"
2018	"YR2018"	"Comoros"	"COM"	"20.7"	"4.58884811"	"65.22776031"	"134.20884705"	"74.54656982"	"1188797574.94753"	"1428.29046324322"	"0.400950133800507"
2018	"YR2018"	"Congo, Dem. Rep."	"COD"	"24.1"	"3.30075741"	"18.51088905"	"30.71561813"	"41.61063766"	"47146004586.6824"	"560.807358238634"	"0.364528745412826"
2018	"YR2018"	"Congo, Rep."	"COG"	"23.1"	"2.13848233"	"47.5177536"	"125.36307526"	"52.2905159"	"13670036995.9959"	"2606.6153307839"	"0.417835533618927"
2018	"YR2018"	"Costa Rica"	"CRI"	"9.6"	"7.56336021"	"909.6730957"	"1336.52856445"	"22.4164238"	"62420165099.7301"	"12485.423896168"	"0.603258788585663"
2018	"YR2018"	"Cote d'Ivoire"	"CIV"	"22"	"4.19003773"	"71.88140869"	"176.27853394"	"39.42552948"	"58011466450.8643"	"2314.05095836881"	"0.369968354701996"
2018	"YR2018"	"Croatia"	"HRV"	"16.3"	"6.82702351"	"1014.22235107"	"1876.10449219"	"10.47844696"	"62247874948.8225"	"15227.5600968096"	"0.729365646839142"
2018	"YR2018"	"Cuba"	"CUB"	"16.5"	"11.18745422"	"986.93731689"	"2519.29418945"	"11.00801563"	"100050000000"	"8824.19400843842"	""
2018	"YR2018"	"Curacao"	"CUW"	""	""	""	""	""	"3127908044.69274"	"19630.8934873019"	""
2018	"YR2018"	"Cyprus"	"CYP"	"8.3"	"6.76976299"	"1954.40686035"	"2624.85083008"	"44.63916016"	"25522671232.8767"	"29089.4713273857"	"0.754617035388947"
2018	"YR2018"	"Czech Republic"	"CZE"	"14.8"	"7.64651203"	"1765.58837891"	"3040.51904297"	"14.1906004"	"248950103352.137"	"23419.7356136502"	"0.764516711235046"
2018	"YR2018"	"Denmark"	"DNK"	"11.3"	"10.0707159"	"6216.76855469"	"5794.25927734"	"13.76510525"	"356841216410.068"	"61591.9288698958"	"0.770831823348999"
2018	"YR2018"	"Djibouti"	"DJI"	"22.2"	"2.32438445"	"70.86093903"	"134.88937378"	"28.88780594"	"3012803457.10411"	"3141.86171059002"	""
2018	"YR2018"	"Dominica"	"DMA"	""	"6.59153605"	"490.81829834"	"710.24499512"	"32.37599182"	"550622222.222222"	"7687.46296348005"	"0.551737248897552"
